epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7132.76,2.21424,3.40564,2.02998,0.45869,0.2768,0.20367,0.08929,2.12015,3.83927,2.06073,0.070016,0.00333156,0.00333156
2,13223.6,2.11663,2.70983,1.95919,0.43513,0.33975,0.28369,0.12937,1.97275,2.46182,1.86588,0.039956,0.00660491,0.00660491
3,23313.1,2.04398,2.34596,1.89889,0.59859,0.54446,0.55287,0.25499,1.80324,1.79806,1.7744,0.00983599,0.00981826,0.00981826
4,32807.5,1.99594,2.10018,1.85416,0.64648,0.59687,0.60221,0.28438,1.75574,1.65996,1.72716,0.00973,0.00973,0.00973
5,41028.1,1.95768,1.92609,1.81642,0.65882,0.63164,0.66352,0.33232,1.66111,1.49837,1.64859,0.00964,0.00964,0.00964
6,50609.8,1.90496,1.78023,1.77178,0.59514,0.64144,0.63907,0.32311,1.70939,1.54862,1.6776,0.00955,0.00955,0.00955
7,56800.1,1.89099,1.69189,1.74645,0.65058,0.74824,0.73333,0.37483,1.62947,1.28699,1.61184,0.00946,0.00946,0.00946
8,63059.8,1.86513,1.61528,1.72254,0.67077,0.74824,0.7329,0.38517,1.60275,1.24106,1.56782,0.00937,0.00937,0.00937
9,70870.1,1.85028,1.57215,1.70456,0.7047,0.76149,0.77887,0.41121,1.58018,1.19479,1.56756,0.00928,0.00928,0.00928
10,77835.8,1.83945,1.52346,1.69587,0.67812,0.80751,0.8069,0.42919,1.56919,1.17744,1.55724,0.00919,0.00919,0.00919
11,84872.5,1.81648,1.45962,1.67814,0.68429,0.81802,0.8055,0.42558,1.5598,1.1307,1.54515,0.0091,0.0091,0.0091
12,91410.3,1.80766,1.43228,1.67363,0.74016,0.84929,0.83731,0.45483,1.53794,1.06437,1.52545,0.00901,0.00901,0.00901
13,97474.2,1.79481,1.38668,1.65628,0.7215,0.83009,0.81992,0.44571,1.51058,1.0564,1.51164,0.00892,0.00892,0.00892
14,106149,1.77923,1.35804,1.64852,0.76723,0.84486,0.84982,0.4739,1.50045,1.00288,1.50001,0.00883,0.00883,0.00883
15,114075,1.77061,1.32692,1.63441,0.76923,0.85475,0.83335,0.46174,1.50127,1.00473,1.49367,0.00874,0.00874,0.00874
16,119272,1.75872,1.30519,1.6269,0.78002,0.85597,0.84859,0.46863,1.49715,0.96435,1.49179,0.00865,0.00865,0.00865
17,126768,1.74392,1.27213,1.61577,0.77705,0.88819,0.86054,0.48359,1.46668,0.94607,1.46481,0.00856,0.00856,0.00856
18,133939,1.73916,1.24284,1.60644,0.79023,0.89565,0.87114,0.49226,1.46184,0.92449,1.47373,0.00847,0.00847,0.00847
19,140126,1.7255,1.22103,1.60237,0.81542,0.85983,0.86971,0.49511,1.45565,0.90474,1.46292,0.00838,0.00838,0.00838
20,146783,1.72337,1.21367,1.5953,0.79434,0.90887,0.88258,0.51316,1.43573,0.87973,1.44468,0.00829,0.00829,0.00829
21,152550,1.71111,1.20295,1.59361,0.79467,0.89926,0.88263,0.51466,1.43006,0.87352,1.44137,0.0082,0.0082,0.0082
22,158730,1.6951,1.16359,1.58022,0.80601,0.89979,0.89074,0.51133,1.43999,0.85074,1.44909,0.00811,0.00811,0.00811
23,164751,1.68919,1.16081,1.57339,0.81493,0.91541,0.89744,0.51444,1.44398,0.84999,1.44794,0.00802,0.00802,0.00802
24,171758,1.68714,1.14306,1.57493,0.81396,0.9157,0.90128,0.52495,1.41402,0.82879,1.42774,0.00793,0.00793,0.00793
25,180046,1.67945,1.13689,1.56736,0.82982,0.90662,0.90366,0.52834,1.41483,0.82451,1.42896,0.00784,0.00784,0.00784
26,186165,1.67138,1.12272,1.55899,0.83842,0.91509,0.90705,0.53401,1.4004,0.81184,1.41872,0.00775,0.00775,0.00775
27,193769,1.66855,1.10802,1.5556,0.82273,0.92888,0.9058,0.53074,1.40264,0.80141,1.41822,0.00766,0.00766,0.00766
28,201753,1.66208,1.09611,1.55045,0.83172,0.9246,0.90844,0.53659,1.39835,0.79512,1.41494,0.00757,0.00757,0.00757
29,209099,1.65707,1.09052,1.54443,0.82784,0.9223,0.90854,0.53675,1.39488,0.78753,1.40942,0.00748,0.00748,0.00748
30,214557,1.65472,1.08443,1.54366,0.83219,0.93032,0.91291,0.54062,1.38978,0.77912,1.40911,0.00739,0.00739,0.00739
31,222187,1.64132,1.06564,1.53943,0.85135,0.92629,0.91576,0.54165,1.39082,0.7698,1.406,0.0073,0.0073,0.0073
32,228451,1.63963,1.06722,1.53137,0.84187,0.93468,0.9179,0.54976,1.37619,0.76292,1.39963,0.00721,0.00721,0.00721
33,235009,1.6383,1.05273,1.52902,0.84674,0.93587,0.92059,0.5526,1.37503,0.75431,1.39539,0.00712,0.00712,0.00712
34,241906,1.63222,1.04567,1.52969,0.84729,0.9361,0.92273,0.55534,1.37203,0.7488,1.39511,0.00703,0.00703,0.00703
35,248683,1.62525,1.02911,1.52078,0.85307,0.93098,0.92353,0.5581,1.36617,0.73905,1.39156,0.00694,0.00694,0.00694
36,254333,1.62884,1.03959,1.52741,0.85087,0.93639,0.92129,0.55445,1.36826,0.73872,1.39127,0.00685,0.00685,0.00685
37,260432,1.6154,1.01771,1.51547,0.85794,0.93235,0.92484,0.55735,1.36911,0.73428,1.39175,0.00676,0.00676,0.00676
