Object Detection Algorithm,Inference Speed (s),Relative Difference,Subordinate Rank
YOLOv3,0.029,0.9333333333333335,0.6666666666666661
YOLOv5n,0.045,2.0,0.0
YOLOv5s,0.052,2.466666666666667,0.0
YOLOv5m,0.068,3.5333333333333337,0.0
YOLOv7,0.038,1.5333333333333334,0.0
YOLOv7-tiny,0.022,0.4666666666666666,5.333333333333334
YOLOv8n (PesoScan),0.031,1.0666666666666667,0.0
YOLOv8s,0.041,1.7333333333333336,0.0
YOLOv11n,0.035,1.3333333333333337,0.0
YOLOv11s,0.044,1.9333333333333333,0.0
YOLO Generic,0.015,0.0,10.0
Faster R-CNN,0.095,5.333333333333334,0.0
SSD MobileNet,0.018,0.19999999999999996,8.0
RetinaNet,0.076,4.066666666666666,0.0
