epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5512.71,2.20143,4.12386,1.68174,0.51737,0.33121,0.31758,0.13882,1.98484,2.8225,1.41227,7.39803e-05,7.39803e-05,7.39803e-05
2,8117.12,2.04941,2.59336,1.53507,0.55854,0.59336,0.59415,0.28253,1.81635,2.0227,1.33177,0.00013333,0.00013333,0.00013333
3,11848.9,1.95853,2.03408,1.49007,0.60388,0.69429,0.6945,0.34557,1.69433,1.70798,1.27633,0.000178028,0.000178028,0.000178028
4,34573,1.89289,1.75115,1.4545,0.68667,0.76258,0.75622,0.3835,1.65256,1.47455,1.25483,0.000156066,0.000156066,0.000156066
5,37911.6,1.8383,1.56617,1.4259,0.70725,0.76459,0.78463,0.41051,1.61345,1.37363,1.23602,0.000134088,0.000134088,0.000134088
6,41398.2,1.80501,1.45641,1.40554,0.73975,0.78685,0.7957,0.41844,1.59279,1.26825,1.22678,0.00011211,0.00011211,0.00011211
7,44501.8,1.7745,1.37946,1.38678,0.72654,0.79819,0.8036,0.41341,1.6089,1.24389,1.22468,9.0132e-05,9.0132e-05,9.0132e-05
8,47288,1.74028,1.30654,1.36717,0.76739,0.81855,0.82782,0.44299,1.55388,1.16483,1.2056,6.8154e-05,6.8154e-05,6.8154e-05
9,49815.7,1.7217,1.26187,1.35843,0.76983,0.82555,0.83184,0.43985,1.57509,1.13584,1.20916,4.6176e-05,4.6176e-05,4.6176e-05
10,52603.3,1.69443,1.22357,1.34962,0.76866,0.82908,0.83825,0.44584,1.55543,1.11667,1.20054,2.4198e-05,2.4198e-05,2.4198e-05
