epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1588.45,0.45738,2.08402,0.99289,0.7233,0.87295,0.82311,0.76029,0.39306,1.64745,0.92149,0.000255332,0.000255332,0.000255332
2,2726.61,0.43658,1.0687,0.95349,0.84807,0.87292,0.90791,0.84839,0.37474,1.15275,0.93222,0.000501534,0.000501534,0.000501534
3,3870.11,0.44129,0.85654,0.94881,0.85782,0.88492,0.93588,0.86996,0.40288,1.00109,0.93512,0.000737586,0.000737586,0.000737586
4,5312.34,0.43825,0.74775,0.95517,0.89936,0.92511,0.95076,0.90034,0.33343,0.67092,0.8776,0.000723321,0.000723321,0.000723321
5,6679.53,0.4175,0.6078,0.9411,0.9391,0.95128,0.97276,0.92952,0.31707,0.53853,0.87576,0.000708095,0.000708095,0.000708095
6,9513.56,0.39392,0.56694,0.93308,0.95696,0.96692,0.98193,0.94557,0.30804,0.42793,0.87305,0.000692869,0.000692869,0.000692869
7,10908.3,0.39734,0.51206,0.94188,0.93203,0.96006,0.9799,0.95035,0.28955,0.4248,0.8603,0.000677643,0.000677643,0.000677643
8,12067.7,0.3776,0.47207,0.92624,0.95397,0.95026,0.98124,0.95335,0.27387,0.37515,0.85243,0.000662417,0.000662417,0.000662417
9,13700.7,0.37071,0.44476,0.92576,0.95246,0.93221,0.98173,0.95477,0.2766,0.38544,0.85192,0.00064719,0.00064719,0.00064719
10,15048.1,0.36318,0.43535,0.92613,0.98076,0.96912,0.98834,0.96959,0.2489,0.29713,0.83616,0.000631964,0.000631964,0.000631964
11,16419.5,0.35643,0.40226,0.9205,0.97847,0.9697,0.98771,0.96808,0.25828,0.30094,0.83631,0.000616738,0.000616738,0.000616738
12,17939.9,0.35083,0.40082,0.92205,0.98184,0.98075,0.99184,0.97699,0.24702,0.27835,0.83263,0.000601512,0.000601512,0.000601512
13,19528.2,0.34221,0.38623,0.91917,0.97754,0.98187,0.98986,0.97584,0.2253,0.26833,0.8185,0.000586286,0.000586286,0.000586286
14,32026.6,0.34167,0.36868,0.91937,0.97742,0.97798,0.99045,0.97231,0.24453,0.28199,0.83952,0.000571059,0.000571059,0.000571059
15,33522.7,0.33841,0.35707,0.91764,0.98606,0.98585,0.99327,0.97999,0.2239,0.24585,0.81555,0.000555833,0.000555833,0.000555833
16,34599.4,0.32904,0.34696,0.91179,0.98522,0.97584,0.99128,0.98168,0.21513,0.23827,0.81874,0.000540607,0.000540607,0.000540607
17,35692.4,0.32355,0.3319,0.90698,0.97472,0.98431,0.99123,0.98265,0.20487,0.23552,0.80871,0.000525381,0.000525381,0.000525381
18,36788.4,0.3184,0.32172,0.90537,0.98982,0.98766,0.99263,0.98432,0.20236,0.21397,0.81149,0.000510155,0.000510155,0.000510155
19,37884.3,0.31693,0.31241,0.90766,0.97502,0.98193,0.99036,0.98204,0.19486,0.21863,0.80446,0.000494928,0.000494928,0.000494928
20,38980.8,0.30359,0.3161,0.90225,0.9846,0.97907,0.99106,0.98059,0.19902,0.22402,0.80529,0.000479702,0.000479702,0.000479702
21,40077.1,0.30828,0.30131,0.90162,0.98892,0.98752,0.99334,0.98483,0.20451,0.20864,0.80569,0.000464476,0.000464476,0.000464476
22,41252.1,0.30168,0.29475,0.90027,0.98657,0.99293,0.99325,0.98721,0.18244,0.18973,0.79997,0.00044925,0.00044925,0.00044925
23,42903.5,0.29458,0.29306,0.89896,0.9886,0.98342,0.99301,0.98692,0.19218,0.19108,0.80548,0.000434024,0.000434024,0.000434024
24,44544.8,0.2948,0.28414,0.90062,0.99352,0.99565,0.99412,0.98882,0.18691,0.18295,0.79915,0.000418797,0.000418797,0.000418797
25,45942.1,0.29256,0.28329,0.89863,0.98501,0.97786,0.99198,0.98552,0.17978,0.19432,0.79804,0.000403571,0.000403571,0.000403571
26,47172.8,0.29096,0.27704,0.89831,0.98815,0.99095,0.99154,0.98606,0.17407,0.18805,0.79467,0.000388345,0.000388345,0.000388345
27,48284.4,0.2885,0.27197,0.89689,0.98759,0.99469,0.99322,0.9863,0.17447,0.18444,0.79415,0.000373119,0.000373119,0.000373119
28,49386.2,0.28171,0.27038,0.89587,0.98594,0.98599,0.99094,0.98736,0.16661,0.18025,0.79348,0.000357893,0.000357893,0.000357893
29,51322,0.27871,0.26492,0.89831,0.9877,0.99298,0.99346,0.99011,0.16594,0.17607,0.78969,0.000342666,0.000342666,0.000342666
30,52914.1,0.27722,0.25789,0.89523,0.99504,0.99087,0.9934,0.98947,0.1705,0.17595,0.79008,0.00032744,0.00032744,0.00032744
31,54028.5,0.27693,0.25986,0.89385,0.99228,0.9903,0.9921,0.98886,0.16093,0.1747,0.78927,0.000312214,0.000312214,0.000312214
32,55133.3,0.27118,0.2536,0.88961,0.995,0.99631,0.99438,0.99139,0.16295,0.16057,0.78866,0.000296988,0.000296988,0.000296988
33,56244.5,0.26774,0.24713,0.88863,0.99214,0.99216,0.99382,0.99155,0.15665,0.16003,0.78453,0.000281762,0.000281762,0.000281762
34,57352.8,0.2601,0.24033,0.88911,0.98941,0.99376,0.99394,0.9916,0.1517,0.15704,0.78361,0.000266535,0.000266535,0.000266535
35,58461.3,0.26157,0.2363,0.89342,0.98941,0.99562,0.99409,0.99216,0.15008,0.15684,0.78399,0.000251309,0.000251309,0.000251309
36,59712.7,0.26167,0.23887,0.89118,0.99439,0.99597,0.99434,0.99205,0.14749,0.14987,0.78357,0.000236083,0.000236083,0.000236083
37,61285.9,0.25897,0.23231,0.88553,0.99455,0.99463,0.9945,0.99279,0.14196,0.1417,0.78034,0.000220857,0.000220857,0.000220857
38,63200.4,0.25227,0.22717,0.8828,0.99342,0.99524,0.99378,0.99153,0.14448,0.14307,0.78149,0.000205631,0.000205631,0.000205631
39,65153.2,0.24886,0.22696,0.88088,0.99296,0.99513,0.99401,0.99224,0.13621,0.13706,0.77757,0.000190404,0.000190404,0.000190404
40,67684.5,0.24622,0.2257,0.88039,0.99395,0.99514,0.99443,0.9922,0.13726,0.13834,0.77781,0.000175178,0.000175178,0.000175178
41,69667,0.1602,0.15867,0.80939,0.99192,0.98989,0.99342,0.99143,0.13438,0.14894,0.77653,0.000159952,0.000159952,0.000159952
42,71516.7,0.15329,0.15449,0.80716,0.99071,0.9968,0.9945,0.9927,0.12999,0.13372,0.77369,0.000144726,0.000144726,0.000144726
43,74082.1,0.15008,0.1472,0.80103,0.99121,0.99684,0.99463,0.99317,0.12587,0.12874,0.77156,0.0001295,0.0001295,0.0001295
44,76731.3,0.14587,0.1418,0.80417,0.99459,0.99711,0.9945,0.99325,0.1205,0.12209,0.77095,0.000114273,0.000114273,0.000114273
45,78247.9,0.14141,0.13612,0.80312,0.99241,0.99672,0.9945,0.99351,0.11657,0.1193,0.76856,9.90472e-05,9.90472e-05,9.90472e-05
46,79446.3,0.13864,0.13258,0.79741,0.99517,0.99492,0.99433,0.9933,0.11576,0.11609,0.76859,8.3821e-05,8.3821e-05,8.3821e-05
47,80659.9,0.1337,0.12614,0.79536,0.99561,0.99597,0.99449,0.99344,0.11351,0.11307,0.76657,6.85948e-05,6.85948e-05,6.85948e-05
48,82258.2,0.12845,0.12285,0.79704,0.99428,0.99765,0.99453,0.9937,0.11217,0.11085,0.76632,5.33686e-05,5.33686e-05,5.33686e-05
49,84221,0.12863,0.12306,0.79802,0.99479,0.99809,0.99463,0.9934,0.10876,0.10902,0.76485,3.81424e-05,3.81424e-05,3.81424e-05
50,86209.2,0.12517,0.11977,0.79945,0.99643,0.99635,0.99432,0.99324,0.10545,0.105,0.76409,2.29162e-05,2.29162e-05,2.29162e-05
