epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2526.19,0.44806,2.0778,0.98953,0.69757,0.83377,0.83768,0.78371,0.34826,1.61173,0.91257,0.000255332,0.000255332,0.000255332
2,4831.66,0.44088,1.06139,0.95673,0.84264,0.8988,0.90987,0.86405,0.33764,1.24722,0.896,0.000501534,0.000501534,0.000501534
3,7908.14,0.44044,0.84282,0.9554,0.89582,0.90772,0.94666,0.89993,0.33268,0.85527,0.90275,0.000737586,0.000737586,0.000737586
4,10483,0.43361,0.73148,0.95305,0.93922,0.92927,0.96959,0.92572,0.32232,0.63761,0.8931,0.000723321,0.000723321,0.000723321
5,13475.9,0.424,0.61735,0.94806,0.94077,0.95007,0.96968,0.92878,0.30633,0.5224,0.87254,0.000708095,0.000708095,0.000708095
6,15958.7,0.40078,0.54921,0.93602,0.90955,0.91496,0.96173,0.90075,0.38497,0.62894,0.94266,0.000692869,0.000692869,0.000692869
7,18590.1,0.39758,0.51881,0.9359,0.94014,0.96187,0.9784,0.94606,0.30378,0.40469,0.86123,0.000677643,0.000677643,0.000677643
8,21146.6,0.3789,0.46098,0.93057,0.94513,0.95296,0.97289,0.94754,0.2627,0.37581,0.8408,0.000662417,0.000662417,0.000662417
9,23692.5,0.36955,0.44576,0.92596,0.96067,0.96581,0.98374,0.95452,0.29128,0.37983,0.87357,0.00064719,0.00064719,0.00064719
10,25782.8,0.36661,0.42864,0.92577,0.96722,0.94817,0.98415,0.95519,0.2729,0.37061,0.84986,0.000631964,0.000631964,0.000631964
11,27387.9,0.35527,0.41309,0.9179,0.98559,0.97754,0.98959,0.97052,0.24252,0.28308,0.83664,0.000616738,0.000616738,0.000616738
12,28962.1,0.3603,0.39151,0.92559,0.96763,0.97169,0.98766,0.97175,0.24155,0.29843,0.83066,0.000601512,0.000601512,0.000601512
13,30535.9,0.34176,0.37325,0.92001,0.97118,0.97069,0.98982,0.97647,0.2288,0.26494,0.82074,0.000586286,0.000586286,0.000586286
14,32104.4,0.33763,0.3618,0.91799,0.98503,0.98546,0.99049,0.97212,0.24263,0.27376,0.83334,0.000571059,0.000571059,0.000571059
15,33995.7,0.3335,0.35658,0.91176,0.973,0.96833,0.98917,0.97601,0.22353,0.26445,0.8265,0.000555833,0.000555833,0.000555833
16,35920.2,0.32991,0.34418,0.914,0.97667,0.97533,0.98615,0.97539,0.21337,0.24353,0.81437,0.000540607,0.000540607,0.000540607
17,38590,0.32212,0.33441,0.90966,0.98592,0.99194,0.99304,0.97913,0.22821,0.24625,0.8224,0.000525381,0.000525381,0.000525381
18,40382,0.31734,0.3293,0.90636,0.98194,0.97906,0.99166,0.97957,0.21275,0.2334,0.81638,0.000510155,0.000510155,0.000510155
19,42405.3,0.31539,0.32694,0.90336,0.98477,0.978,0.99031,0.97954,0.20219,0.22244,0.80772,0.000494928,0.000494928,0.000494928
20,44645.4,0.30963,0.318,0.906,0.97794,0.98799,0.99133,0.9856,0.19677,0.20483,0.80549,0.000479702,0.000479702,0.000479702
21,46370.5,0.30379,0.30498,0.90056,0.9809,0.99694,0.9937,0.9867,0.19609,0.20414,0.80068,0.000464476,0.000464476,0.000464476
22,48112.4,0.30174,0.30332,0.90509,0.98832,0.97913,0.9917,0.98391,0.20065,0.22111,0.80885,0.00044925,0.00044925,0.00044925
23,49922.6,0.303,0.29402,0.90552,0.98364,0.99209,0.9932,0.985,0.1943,0.20434,0.80474,0.000434024,0.000434024,0.000434024
24,52017.9,0.2985,0.28953,0.90164,0.99383,0.99321,0.9929,0.98598,0.20018,0.19831,0.80469,0.000418797,0.000418797,0.000418797
25,54620.6,0.29433,0.28643,0.90104,0.99314,0.99262,0.99289,0.9889,0.17299,0.18071,0.79472,0.000403571,0.000403571,0.000403571
26,56539.8,0.29384,0.28231,0.89886,0.99203,0.99101,0.99343,0.98766,0.18093,0.18792,0.79921,0.000388345,0.000388345,0.000388345
27,58970,0.29239,0.26852,0.89874,0.99374,0.99497,0.99347,0.98938,0.16876,0.16931,0.79107,0.000373119,0.000373119,0.000373119
28,61453.6,0.28631,0.26757,0.9039,0.99313,0.9913,0.99389,0.98989,0.16683,0.16732,0.79054,0.000357893,0.000357893,0.000357893
29,64034.2,0.28359,0.26292,0.89791,0.9904,0.99229,0.99284,0.9871,0.16933,0.17799,0.79171,0.000342666,0.000342666,0.000342666
30,66612.6,0.27839,0.26222,0.89309,0.99327,0.99216,0.99302,0.98986,0.15889,0.17082,0.78593,0.00032744,0.00032744,0.00032744
31,70899,0.27408,0.25545,0.89342,0.99166,0.98722,0.99265,0.98852,0.16355,0.17628,0.78755,0.000312214,0.000312214,0.000312214
32,72995.5,0.27039,0.24841,0.89573,0.99116,0.9904,0.99127,0.98851,0.15577,0.16796,0.78486,0.000296988,0.000296988,0.000296988
33,75298.1,0.26866,0.24602,0.89081,0.99309,0.99089,0.99345,0.99076,0.15356,0.15697,0.7854,0.000281762,0.000281762,0.000281762
34,77319.3,0.26696,0.24636,0.88964,0.99063,0.98872,0.99306,0.9902,0.1541,0.16158,0.78465,0.000266535,0.000266535,0.000266535
35,86800.4,0.26331,0.23949,0.88942,0.99362,0.98909,0.99338,0.99096,0.1571,0.16047,0.78704,0.000251309,0.000251309,0.000251309
