Classification Algorithm,F1-score,Relative Difference,Subordinate Rank
VGG-16,0.925,0.045407636738906014,9.54592363261094
VGG-19,0.931,0.03921568627450973,9.607843137254903
VGG-16 (Alejo),0.885,0.08668730650154795,9.13312693498452
AlexNet (Alejo),0.869,0.10319917440660473,8.968008255933952
ResNet-18,0.908,0.06295149638802884,9.370485036119712
ResNet-34,0.916,0.05469556243550045,9.453044375644996
ResNet-50,0.953,0.016511867905056776,9.834881320949432
ResNet-101,0.958,0.011351909184726533,9.886480908152734
ResNet-18 (Alejo),0.918,0.052631578947368356,9.473684210526317
ResNet-50 (Kanawade),0.91,0.060887512899896745,9.391124871001033
DenseNet-121,0.936,0.03405572755417948,9.659442724458206
DenseNet-169,0.942,0.02786377708978331,9.721362229102168
DenseNet-201,0.951,0.01857585139318887,9.814241486068111
DenseNet-201 (Kanawade),0.887,0.08462332301341585,9.153766769865841
EfficientNet-B0,0.921,0.04953560371517021,9.504643962848299
EfficientNet-B1,0.929,0.04127966976264182,9.587203302373581
EfficientNet-B2,0.935,0.03508771929824553,9.649122807017545
EfficientNet-V2-B0,0.917,0.053663570691434404,9.463364293085656
EfficientNet-V2-B1,0.923,0.04747162022703811,9.52528379772962
MobileNet-V1,0.862,0.11042311661506707,8.89576883384933
MobileNet-V2,0.889,0.08255933952528376,9.174406604747162
MobileNet-V3-Small,0.898,0.07327141382868932,9.267285861713107
MobileNet-V3-Large,0.958,0.011351909184726533,9.886480908152734
Inception-V3,0.939,0.030959752321981452,9.690402476780186
Inception-ResNet-V2,0.945,0.02476780185758516,9.752321981424148
Xception,0.941,0.028895768833849356,9.711042311661506
NASNet-Mobile,0.903,0.06811145510835909,9.31888544891641
MobileNet-V3 Branch,0.903,0.06811145510835909,9.31888544891641
ResNet-50 Branch,0.91,0.060887512899896745,9.391124871001033
Custom CNN,0.969,0.0,10.0
Deep CNN (Patel),0.851,0.1217750257997936,8.782249742002064
DL CNN (Bhavani),0.882,0.0897832817337461,9.102167182662539
CNN + IP (Noor),0.915,0.0557275541795665,9.442724458204335
