epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52106,1.30746,3.10762,1.56156,0.01399,1,0.62,0.62,0.21041,3.12165,0.95721,8.574e-05,8.574e-05,8.574e-05
2,17.2043,1.30273,2.99994,1.49909,0.01274,1,0.995,0.995,0.2336,3.12932,0.98896,0.00017964,0.00017964,0.00017964
3,26.054,1.23719,2.74625,1.51817,0.00971,1,0.995,0.92037,0.32523,3.11467,0.97709,0.000266937,0.000266937,0.000266937
4,32.6836,1.04048,2.58707,1.32283,0.00858,1,0.995,0.92036,0.36644,3.09391,0.99071,0.000347633,0.000347633,0.000347633
5,38.768,0.97377,2.23925,1.31104,0.00637,1,0.995,0.92033,0.31422,2.93873,1.00462,0.000421726,0.000421726,0.000421726
6,43.363,1.07314,2.15742,1.37476,0.0058,1,0.995,0.92032,0.34733,2.78873,0.99737,0.000489218,0.000489218,0.000489218
7,47.7559,1.17979,2.01117,1.41237,0.0058,1,0.995,0.92032,0.34733,2.78873,0.99737,0.000550108,0.000550108,0.000550108
8,52.6068,1.04633,1.69825,1.28761,0.00542,1,0.995,0.92032,0.41188,2.67946,1.00308,0.000604396,0.000604396,0.000604396
9,56.9416,1.06166,1.72747,1.29428,0.00635,1,0.995,0.94508,0.36085,2.57553,1.01841,0.000652081,0.000652081,0.000652081
10,4.83641,1.1513,1.82338,1.58303,0.00901,1,0.01652,0.00547,2.84151,15120.8,22.4182,0.000693165,0.000693165,0.000693165
11,9.53368,1.26534,1.85475,1.77876,0.06399,1,0.82833,0.39765,1.80642,251.15,2.29117,0.000727647,0.000727647,0.000727647
12,14.1608,1.21007,1.85264,1.64451,0.06399,1,0.82833,0.39765,1.80642,251.15,2.29117,0.000755527,0.000755527,0.000755527
13,18.3674,1.01922,1.85524,1.24642,0.63927,1,0.995,0.74604,1.19467,39.0284,1.75618,0.000776804,0.000776804,0.000776804
14,22.7526,0.99226,1.52741,1.28935,0.63927,1,0.995,0.74604,1.19467,39.0284,1.75618,0.00079148,0.00079148,0.00079148
15,26.8853,1.02979,1.56389,1.29025,0.63927,1,0.995,0.74604,1.19467,39.0284,1.75618,0.000768802,0.000768802,0.000768802
16,31.2302,1.09504,1.48172,1.30785,0.88069,1,0.995,0.8457,0.77571,20.5448,1.29703,0.000721645,0.000721645,0.000721645
17,35.7724,1.00438,1.3534,1.24389,0.88069,1,0.995,0.8457,0.77571,20.5448,1.29703,0.000674488,0.000674488,0.000674488
18,39.9898,0.93691,1.51771,1.24782,0.95345,1,0.995,0.8955,0.61845,11.4333,1.15171,0.000627331,0.000627331,0.000627331
19,44.2013,1.13131,1.43865,1.36801,0.95345,1,0.995,0.8955,0.61845,11.4333,1.15171,0.000580174,0.000580174,0.000580174
20,48.8927,1.0494,1.37349,1.41708,0.9779,1,0.995,0.8955,0.61765,8.36943,1.18037,0.000533017,0.000533017,0.000533017
21,52.9694,0.96366,1.47615,1.28904,0.9779,1,0.995,0.8955,0.61765,8.36943,1.18037,0.00048586,0.00048586,0.00048586
22,57.8437,1.08762,1.4772,1.28093,0.98531,1,0.995,0.84568,0.63194,5.85051,1.22138,0.000438703,0.000438703,0.000438703
23,62.0222,0.89614,1.41186,1.29287,0.98531,1,0.995,0.84568,0.63194,5.85051,1.22138,0.000391546,0.000391546,0.000391546
24,66.1538,1.04403,1.50163,1.43341,0.98531,1,0.995,0.84568,0.63194,5.85051,1.22138,0.000344389,0.000344389,0.000344389
25,71.0604,0.90131,1.32185,1.25771,0.98139,1,0.995,0.84567,0.56929,5.17595,1.22441,0.000297232,0.000297232,0.000297232
26,76.1001,0.90039,1.62353,1.31461,0.98139,1,0.995,0.84567,0.56929,5.17595,1.22441,0.000250075,0.000250075,0.000250075
27,81.6031,0.98357,1.40598,1.29077,0.97705,1,0.995,0.8955,0.43878,4.22468,1.19463,0.000202918,0.000202918,0.000202918
28,87.4965,0.92133,1.31013,1.25169,0.97705,1,0.995,0.8955,0.43878,4.22468,1.19463,0.000155761,0.000155761,0.000155761
