epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.40799,1.30746,3.10762,1.56156,0.01399,1,0.62,0.62,0.21041,3.12165,0.95721,8.574e-05,8.574e-05,8.574e-05
2,11.0187,1.30507,3.00147,1.50059,0.01266,1,0.995,0.995,0.23523,3.12703,0.98546,0.000176574,0.000176574,0.000176574
3,16.0058,1.24063,2.76086,1.52194,0.00976,1,0.995,0.92037,0.3215,3.11706,0.97474,0.000257506,0.000257506,0.000257506
4,20.3632,1.04254,2.60241,1.32975,0.00826,1,0.995,0.92036,0.36,3.10691,0.99352,0.000328534,0.000328534,0.000328534
5,24.7795,0.97268,2.2785,1.32008,0.00651,1,0.995,0.92033,0.38535,2.96328,1.03621,0.00038966,0.00038966,0.00038966
6,29.7657,1.07508,2.19881,1.37244,0.00617,1,0.995,0.92033,0.387,2.79544,1.01748,0.000440882,0.000440882,0.000440882
7,34.2917,1.1618,2.06341,1.40884,0.00617,1,0.995,0.92033,0.387,2.79544,1.01748,0.000482202,0.000482202,0.000482202
8,39.1289,1.06216,1.76593,1.30293,0.00583,1,0.995,0.92032,0.408,2.69861,1.00647,0.000513618,0.000513618,0.000513618
9,43.8749,1.06679,1.79189,1.34359,0.0058,1,0.995,0.94507,0.31121,2.64495,0.96957,0.000535132,0.000535132,0.000535132
10,48.4453,1.06028,1.78706,1.36483,0.0058,1,0.995,0.94507,0.31121,2.64495,0.96957,0.000546743,0.000546743,0.000546743
11,53.088,1.0871,1.79968,1.35929,0.00769,1,0.995,0.92035,0.39086,2.53459,1.03103,0.00054845,0.00054845,0.00054845
12,57.7737,0.94713,1.6775,1.35616,0.00769,1,0.995,0.92035,0.39086,2.53459,1.03103,0.000540255,0.000540255,0.000540255
