epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.026,0.81721,3.12278,1.31856,0.19122,0.04563,0.15442,0.11147,0.72543,3.51608,1.28207,0.000325926,0.000325926,0.000325926
2,593.704,0.84148,2.39404,1.31034,0.35249,0.39328,0.28715,0.20317,0.92701,2.98046,1.52322,0.000646206,0.000646206,0.000646206
3,967.534,0.89918,1.94985,1.31325,0.61119,0.42324,0.44993,0.29398,0.97985,4.11055,1.61532,0.000953286,0.000953286,0.000953286
4,1339.39,0.87581,1.76249,1.29108,0.50451,0.50548,0.50538,0.37141,0.89941,2.63733,1.49938,0.0009406,0.0009406,0.0009406
5,1721.19,0.87288,1.60422,1.30296,0.58952,0.65235,0.62037,0.46202,0.89235,2.1673,1.4682,0.0009208,0.0009208,0.0009208
6,2075.78,0.90993,1.61745,1.32821,0.65378,0.66986,0.70083,0.54216,0.81649,1.8191,1.36032,0.000901,0.000901,0.000901
7,2295.01,0.84371,1.4364,1.28352,0.68382,0.7206,0.74329,0.57912,0.80556,1.69612,1.34884,0.0008812,0.0008812,0.0008812
8,2527.87,0.7915,1.35408,1.25044,0.70038,0.69916,0.73656,0.5686,0.78916,1.62081,1.35265,0.0008614,0.0008614,0.0008614
9,2748.71,0.77535,1.26697,1.22292,0.76286,0.77871,0.8078,0.61815,0.81764,1.40675,1.30846,0.0008416,0.0008416,0.0008416
10,2978.54,0.77744,1.27298,1.22839,0.76042,0.76262,0.79902,0.61255,0.85755,1.42726,1.37477,0.0008218,0.0008218,0.0008218
11,3201.64,0.76192,1.21098,1.23179,0.84367,0.76727,0.84238,0.69272,0.68593,1.24276,1.22226,0.000802,0.000802,0.000802
12,3418.67,0.74419,1.14054,1.22747,0.74777,0.65284,0.73356,0.59264,0.73911,1.63922,1.25345,0.0007822,0.0007822,0.0007822
13,3642.71,0.70309,1.07498,1.17656,0.76706,0.76053,0.81192,0.65228,0.69382,1.24819,1.24883,0.0007624,0.0007624,0.0007624
14,3859.52,0.71642,1.02987,1.18639,0.78076,0.78503,0.81246,0.64692,0.73441,1.22883,1.28297,0.0007426,0.0007426,0.0007426
15,4076.71,0.70276,1.04424,1.1888,0.79629,0.77499,0.82811,0.67315,0.70458,1.19749,1.24782,0.0007228,0.0007228,0.0007228
16,4313.41,0.7037,0.98677,1.16942,0.88063,0.81668,0.87151,0.70781,0.66278,1.02084,1.19223,0.000703,0.000703,0.000703
17,4571.39,0.67823,0.93269,1.1631,0.84466,0.77738,0.84882,0.68931,0.68615,1.01518,1.22508,0.0006832,0.0006832,0.0006832
18,4823.34,0.67366,0.97495,1.15725,0.85204,0.78033,0.86997,0.71533,0.66258,1.00731,1.20183,0.0006634,0.0006634,0.0006634
19,5084.38,0.66877,0.91096,1.15384,0.88106,0.79755,0.87106,0.72015,0.68653,0.97245,1.21746,0.0006436,0.0006436,0.0006436
20,5346.59,0.65561,0.88559,1.14576,0.84377,0.77223,0.85157,0.7145,0.68807,1.04015,1.20722,0.0006238,0.0006238,0.0006238
21,5576.88,0.64485,0.85453,1.12694,0.86891,0.81193,0.89424,0.74829,0.61356,0.89878,1.17016,0.000604,0.000604,0.000604
22,5798.77,0.66113,0.8855,1.15926,0.89066,0.85295,0.90597,0.7638,0.59691,0.82835,1.14602,0.0005842,0.0005842,0.0005842
23,6015.22,0.63605,0.81949,1.12964,0.91776,0.82421,0.90982,0.76937,0.6348,0.79128,1.16883,0.0005644,0.0005644,0.0005644
24,6230.96,0.63199,0.80154,1.11683,0.89425,0.84074,0.90816,0.75662,0.61688,0.82195,1.17141,0.0005446,0.0005446,0.0005446
25,6446.94,0.62336,0.78227,1.12009,0.90871,0.80715,0.89055,0.7361,0.61916,0.83458,1.17563,0.0005248,0.0005248,0.0005248
26,6660.67,0.64439,0.80687,1.13124,0.92095,0.81894,0.90558,0.78894,0.5763,0.76638,1.11534,0.000505,0.000505,0.000505
27,6872.44,0.6127,0.77833,1.11313,0.915,0.83347,0.92309,0.79744,0.58489,0.74036,1.12472,0.0004852,0.0004852,0.0004852
28,7083.11,0.61403,0.75486,1.11246,0.89418,0.85024,0.91251,0.77052,0.61896,0.74094,1.13754,0.0004654,0.0004654,0.0004654
29,7294.16,0.60984,0.77436,1.12388,0.87675,0.84382,0.91189,0.78601,0.55711,0.73292,1.09209,0.0004456,0.0004456,0.0004456
30,7506.19,0.6022,0.76689,1.11302,0.92693,0.83434,0.91036,0.79155,0.563,0.69362,1.08848,0.0004258,0.0004258,0.0004258
31,7715.29,0.59427,0.7452,1.11026,0.87609,0.85988,0.9128,0.77779,0.58469,0.76695,1.11072,0.000406,0.000406,0.000406
32,7925.4,0.56406,0.70268,1.0766,0.95056,0.80528,0.92079,0.78666,0.59178,0.69933,1.12032,0.0003862,0.0003862,0.0003862
33,8134.86,0.57432,0.67886,1.09635,0.89377,0.83937,0.91362,0.79771,0.56625,0.69479,1.1152,0.0003664,0.0003664,0.0003664
34,8344.25,0.55922,0.6679,1.08258,0.86988,0.87139,0.91696,0.81111,0.52163,0.66563,1.07882,0.0003466,0.0003466,0.0003466
35,8552.81,0.57715,0.68923,1.09558,0.9239,0.85134,0.92164,0.80832,0.53563,0.66511,1.09304,0.0003268,0.0003268,0.0003268
36,8761.52,0.53745,0.66439,1.06945,0.922,0.86455,0.92971,0.81595,0.54046,0.64214,1.08955,0.000307,0.000307,0.000307
37,8970.44,0.5403,0.65111,1.08069,0.87629,0.89053,0.92203,0.80771,0.52365,0.63567,1.07891,0.0002872,0.0002872,0.0002872
38,9181.28,0.56129,0.64624,1.07483,0.89585,0.87288,0.92054,0.81106,0.54121,0.66277,1.07484,0.0002674,0.0002674,0.0002674
39,9390.15,0.51071,0.58303,1.04609,0.90731,0.87447,0.93041,0.82175,0.53644,0.63818,1.07059,0.0002476,0.0002476,0.0002476
40,9600.09,0.52253,0.57428,1.06407,0.87879,0.88023,0.93034,0.81832,0.52063,0.62922,1.05717,0.0002278,0.0002278,0.0002278
41,9807.81,0.42655,0.55908,1.0155,0.9056,0.87315,0.92443,0.81712,0.53057,0.64629,1.06119,0.000208,0.000208,0.000208
42,10015.4,0.4075,0.5197,0.99808,0.93792,0.88324,0.93255,0.82802,0.50192,0.61806,1.0423,0.0001882,0.0001882,0.0001882
43,10222,0.40408,0.48492,1.00698,0.92858,0.83806,0.93399,0.82507,0.49869,0.60064,1.03995,0.0001684,0.0001684,0.0001684
44,10429.8,0.39393,0.47377,0.98568,0.89045,0.88931,0.92799,0.83033,0.47703,0.61975,1.02501,0.0001486,0.0001486,0.0001486
45,10636.8,0.39708,0.48039,0.98978,0.90092,0.90896,0.93807,0.83904,0.4707,0.58234,1.0212,0.0001288,0.0001288,0.0001288
46,10844.5,0.3743,0.44785,0.97885,0.92962,0.89912,0.9372,0.84402,0.47444,0.57216,1.02506,0.000109,0.000109,0.000109
47,11052.5,0.37201,0.44316,0.96891,0.92037,0.915,0.93845,0.84689,0.45555,0.56014,1.01075,8.92e-05,8.92e-05,8.92e-05
48,11261.5,0.35835,0.42981,0.95081,0.9165,0.89783,0.93594,0.84556,0.45961,0.55628,1.01402,6.94e-05,6.94e-05,6.94e-05
49,11472.8,0.36074,0.42347,0.96914,0.92794,0.90351,0.93812,0.84891,0.45311,0.53949,1.01216,4.96e-05,4.96e-05,4.96e-05
50,11685.8,0.34714,0.42658,0.9517,0.92206,0.90752,0.94038,0.84964,0.45027,0.54079,1.00674,2.98e-05,2.98e-05,2.98e-05
